,Size,Availability,Furnishing,Price,Flat Size,Location,Balcony,Ready to Move,Under Construction,furnished,semi-furnished,unfurnished,furnished,semi-furnished,unfurnished
0,900,Ready to Move,semi-furnished,101.0,2,Kharadi,2,True,False,False,True,False,False,True,False
1,1500,Ready to Move,unfurnished,210.0,3,Viman Nagar,3,True,False,False,False,True,False,False,True
2,1280,Ready to Move,semi-furnished,153.0,3,Kharadi,2,True,False,False,True,False,False,True,False
3,1724,Under Construction,unfurnished,275.0,4,Baner,3,False,True,False,False,True,False,False,True
4,1150,Ready to Move,semi-furnished,175.0,3,Kharadi,3,True,False,False,True,False,False,True,False
5,1860,Under Construction,semi-furnished,385.0,4,Kothrud,2,False,True,False,True,False,False,True,False
6,1065,Ready to Move,unfurnished,168.0,3,Kharadi,2,True,False,False,False,True,False,False,True
7,1150,Ready to Move,unfurnished,185.0,3,Baner,3,True,False,False,False,True,False,False,True
8,956,Under Construction,semi-furnished,103.0,2,Baner,2,False,True,False,True,False,False,True,False
9,770,Ready to Move,unfurnished,125.0,2,Baner,2,True,False,False,False,True,False,False,True
10,450,Ready to Move,unfurnished,50.0,1,Kondhwa,1,True,False,False,False,True,False,False,True
11,2600,Ready to Move,semi-furnished,475.0,4,Baner,2,True,False,False,True,False,False,True,False
12,900,Ready to Move,semi-furnished,101.0,2,Kharadi,2,True,False,False,True,False,False,True,False
13,1500,Ready to Move,unfurnished,210.0,3,Viman Nagar,3,True,False,False,False,True,False,False,True
14,1280,Ready to Move,semi-furnished,153.0,3,Kharadi,3,True,False,False,True,False,False,True,False
15,1724,Under Construction,unfurnished,275.0,4,Baner,3,False,True,False,False,True,False,False,True
16,1150,Ready to Move,semi-furnished,175.0,3,Kharadi,3,True,False,False,True,False,False,True,False
17,1860,Under Construction,semi-furnished,385.0,4,Kothrud,3,False,True,False,True,False,False,True,False
18,1065,Ready to Move,unfurnished,168.0,3,Kharadi,3,True,False,False,False,True,False,False,True
19,1150,Ready to Move,unfurnished,185.0,3,Baner,3,True,False,False,False,True,False,False,True
