Size,Availability,Furnishing,Price,Flat Size,Location,Balcony
900 sqft,Ready to Move,semi-furnished,1.01 Cr,2 BHK,Kharadi,2
1500 sqft,Ready to Move,unfurnished,2.10 Cr,3 BHK,Viman Nagar,3
1280 sqft,Ready to Move,semi-furnished,1.53 Cr,3 BHK,Kharadi,2
1724 sqft,Poss. by Jun '26,unfurnished,2.75 Cr,4 BHK,Baner,3
1150 sqft,Ready to Move,semi-furnished,1.75 Cr,3 BHK,Kharadi,3
1860 sqft,Poss. by Jun '27,semi-furnished,3.85 Cr,4 BHK,Kothrud,2
1065 sqft,Ready to Move,unfurnished,1.68 Cr,3 BHK,Kharadi,2
1150 sqft,Ready to Move,unfurnished,1.85 Cr,3 BHK,Baner,3
956 sqft,Poss. by Dec '25,semi-furnished,1.03 Cr,2 BHK,Baner,2
770 sqft,Ready to Move,unfurnished,1.25 Cr,2 BHK,Baner,2
450 sqft,Ready to Move,unfurnished,50 Lac,1 BHK,Kondhwa,1
2600 sqft,Ready to Move,semi-furnished,4.75 Cr,4 BHK,Baner,2
900 sqft,Ready to Move,semi-furnished,1.01 Cr,2 BHK,Kharadi,2
1500 sqft,Ready to Move,unfurnished,2.10 Cr,3 BHK,Viman Nagar,3
1280 sqft,Ready to Move,semi-furnished,1.53 Cr,3 BHK,Kharadi,3
1724 sqft,Poss. by Jun '26,unfurnished,2.75 Cr,4 BHK,Baner,3
1150 sqft,Ready to Move,semi-furnished,1.75 Cr,3 BHK,Kharadi,3
1860 sqft,Poss. by Jun '27,semi-furnished,3.85 Cr,4 BHK,Kothrud,3
1065 sqft,Ready to Move,unfurnished,1.68 Cr,3 BHK,Kharadi,3
1150 sqft,Ready to Move,unfurnished,1.85 Cr,3 BHK,Baner,3
956 sqft,Poss. by Dec '25,semi-furnished,1.03 Cr,2 BHK,Baner,2
770 sqft,Ready to Move,unfurnished,1.25 Cr,2 BHK,Baner,3
450 sqft,Ready to Move,unfurnished,50 Lac,1 BHK,Kondhwa,1
2600 sqft,Ready to Move,semi-furnished,4.75 Cr,4 BHK,Baner,2
1348 sqft,Ready to Move,unfurnished,1.78 Cr,3 BHK,Balewadi,2
1080 sqft,Ready to Move,semi-furnished,1.58 Cr,3 BHK,Kharadi,2
1345 sqft,Ready to Move,unfurnished,1.42 Cr,3 BHK,Wakad,2
650 sqft,Ready to Move,semi-furnished,61 Lac,2 BHK,Chinchwad,2
1000 sqft,Ready to Move,semi-furnished,67 Lac,2 BHK,Kharadi,1
1330 sqft,Ready to Move,unfurnished,1.35 Cr,4 BHK,Wakad,2
1220 sqft,Ready to Move,unfurnished,1.48 Cr,3 BHK,Wakad,3
1175 sqft,Poss. by Dec '27,unfurnished,2.33 Cr,3 BHK,Kothrud,2
830 sqft,Ready to Move,semi-furnished,78 Lac,2 BHK,Hadapsar,2
1550 sqft,Poss. by Nov '25,unfurnished,2.80 Cr,3 BHK,Baner,2
625 sqft,Ready to Move,unfurnished,37 Lac,1 BHK,Kondhwa,1
505 sqft,Ready to Move,unfurnished,30 Lac,1 BHK,Hadapsar,1
665 sqft,Poss. by Dec '25,unfurnished,51.9 Lac,2 BHK,Hadapsar,2
1311 sqft,Ready to Move,unfurnished,1.49 Cr,3 BHK,Kondhwa,3
751 sqft,Poss. by Dec '26,unfurnished,91.5 Lac,2 BHK,Tathawade,2
1000 sqft,Ready to Move,unfurnished,1.40 Cr,3 BHK,Kharadi,2
1178 sqft,Poss. by Dec '26,unfurnished,1.79 Cr,3 BHK,Baner,2
1088 sqft,Poss. by Dec '27,unfurnished,1.20 Cr,3 BHK,Wakad,2
780 sqft,Ready to Move,unfurnished,78 Lac,2 BHK,Chinchwad,2
726 sqft,Ready to Move,unfurnished,95 Lac,2 BHK,Wakad,2
865 sqft,Ready to Move,unfurnished,1.08 Cr,2 BHK,Baner,2
850 sqft,Poss. by Mar '26,semi-furnished,99 Lac,2 BHK,Kharadi,2
1524 sqft,Ready to Move,unfurnished,2.15 Cr,4 BHK,Aundh,2
680 sqft,Ready to Move,unfurnished,64 Lac,2 BHK,Ravet,2
760 sqft,Ready to Move,furnished,1.20 Cr,2 BHK,Baner,2
700 sqft,Ready to Move,furnished,1.40 Cr,2 BHK,Viman Nagar,2
1246 sqft,Poss. by Dec '26,semi-furnished,2.04 Cr,3 BHK,Balewadi,3
1150 sqft,Ready to Move,unfurnished,1.75 Cr,3 BHK,Baner,2
1001 sqft,Poss. by Apr '29,semi-furnished,1.02 Cr,3 BHK,Tathawade,2
725 sqft,Poss. by Dec '28,unfurnished,53.5 Lac,2 BHK,Hinjewadi,1
881 sqft,Poss. by Dec '25,unfurnished,1.10 Cr,2 BHK,Balewadi,2
2430 sqft,Ready to Move,furnished,5 Cr,4 BHK,Baner,3
846 sqft,Ready to Move,unfurnished,90 Lac,2 BHK,Hadapsar,2
1250 sqft,Ready to Move,unfurnished,2 Cr,3 BHK,Baner,3
634 sqft,Ready to Move,semi-furnished,66 Lac,2 BHK,Wakad,2
835 sqft,Poss. by Dec '28,unfurnished,1.06 Cr,2 BHK,Balewadi,2
1855 sqft,Poss. by Dec '25,unfurnished,1.75 Cr,3 BHK,Ravet,2
950 sqft,Ready to Move,unfurnished,73 Lac,2 BHK,Kondhwa,2
1650 sqft,Ready to Move,semi-furnished,2.48 Cr,3 BHK,Kharadi,2
1040 sqft,Ready to Move,unfurnished,2 Cr,3 BHK,Kothrud,3
2200 sqft,Ready to Move,semi-furnished,5.50 Cr,4 BHK,Baner,2
1166 sqft,Poss. by Dec '25,unfurnished,1.43 Cr,3 BHK,Baner,2
991 sqft,Poss. by Dec '27,unfurnished,1.36 Cr,3 BHK,Kharadi,3
751 sqft,Poss. by Dec '26,unfurnished,68 Lac,2 BHK,Tathawade,2
1225 sqft,Ready to Move,semi-furnished,1.40 Cr,3 BHK,Baner,2
980 sqft,Poss. by Dec '28,unfurnished,1.06 Cr,3 BHK,Kharadi,2
1700 sqft,Poss. by Dec '26,unfurnished,1.95 Cr,3 BHK,Kondhwa,2
1070 sqft,Poss. by Dec '27,unfurnished,1.23 Cr,3 BHK,Hadapsar,2
890 sqft,Poss. by Dec '27,unfurnished,1.45 Cr,2 BHK,Balewadi,2
1156 sqft,Poss. by Sep '27,unfurnished,1.60 Cr,3 BHK,Chinchwad,3
1246 sqft,Poss. by May '28,unfurnished,1.71 Cr,3 BHK,Kharadi,2
1015 sqft,Poss. by Dec '26,unfurnished,1.50 Cr,3 BHK,Baner,2
1345 sqft,Ready to Move,semi-furnished,2.45 Cr,3 BHK,Baner,2
1167 sqft,Ready to Move,unfurnished,1.50 Cr,3 BHK,Balewadi,3
1129 sqft,Poss. by Dec '27,unfurnished,1.95 Cr,3 BHK,Aundh,2
1446 sqft,Ready to Move,furnished,2 Cr,3 BHK,Baner,3
750 sqft,Ready to Move,semi-furnished,51 Lac,2 BHK,Hadapsar,1
803 sqft,Ready to Move,unfurnished,95 Lac,2 BHK,Chinchwad,2
850 sqft,Ready to Move,unfurnished,83 Lac,2 BHK,Kharadi,2
1160 sqft,Ready to Move,semi-furnished,1.62 Cr,3 BHK,Baner,3
1405 sqft,Poss. by Jun '27,semi-furnished,2.39 Cr,3 BHK,Balewadi,3
1800 sqft,Ready to Move,unfurnished,2.90 Cr,3 BHK,Viman Nagar,2
1180 sqft,Ready to Move,unfurnished,1.75 Cr,3 BHK,Viman Nagar,3
736 sqft,Ready to Move,unfurnished,1 Cr,2 BHK,Ravet,2
690 sqft,Ready to Move,semi-furnished,70 Lac,2 BHK,Lohegaon,2
536 sqft,Ready to Move,semi-furnished,60 Lac,1 BHK,Pimple Saudagar,2
